	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
GOVERNMENT_CORPORATE_REPUBLIC_HIGHER_RANK_ADVICE "Sie sollten die Änderung unserer Regierungsform in eine Handelsrepublik erwägen. Handel, Produktion, Wissenschaft und Wachstum würden dadurch einen Aufschwung erfahren."
GOVERNMENT_TECHNOCRACY_SAME_RANK_ADVICE "Ich schlage vor, wir ändern unsere Regierungsform in eine Technokratie. Dadurch würden wir unseren Wissenschaftlern die Freiheit und die finanziellen Mittel geben, um in punkto technologischem Fortschritt weltweit führend sein zu können."
GOVERNMENT_TECHNOCRACY_HIGHER_RANK_ADVICE "Sie sollten die Änderung unserer Regierungsform in eine Technokratie in Erwägung ziehen. Dadurch könnte sich unsere Nation die Vormachtstellung in der Wissenschaft sichern."
GOVERNMENT_VIRTUAL_DEMOCRACY_SAME_RANK_ADVICE "Ich schlage vor, wir ändern unsere Regierungsform in eine virtuelle Demokratie, damit unsere Nation von wirtschaftlichem Wohlstand profitieren kann."
GOVERNMENT_VIRTUAL_DEMOCRACY_HIGHER_RANK_ADVICE "Sie sollten sich überlegen, ob Sie unsere Regierungsform nicht vielleicht in eine virtuelle Demokratie ändern sollten, damit unsere Nation Wohlstand, Erleuchtung und Freiheit erfährt."

##
##  MILITARY MANAGER
##

NEEDED_UNIT_TYPE_ADVICE "Unsere Militärs fordern mehr {unitrecord[0].name#PLURAL} an. Sie sollten zur Sicherung des Truppennachschubs neue Einheiten erschaffen."
LOW_MILITARY_RANK_ADVICE "Trotz unseres beachtlichen Militärpotenzials sollten wir kriegerische Auseinandersetzungen meiden, bis wir weitere Nachschubeinheiten bereitstellen können."
HIGH_MILITARY_RANK_ADVICE "Da wir über ein starkes Militärpotenzial verfügen, sollten wir es zur Verfolgung unserer politischen Ziele einsetzen."
TACTICAL_DEFEND_AREA_ADVICE "Wir sollten einige Truppen zur Verteidigung der Stadt {city[0].name} aussenden."
AT_PEACE_READINESS_ADVICE "Es besteht zurzeit keine unmittelbare Gefahr für unsere Nation, daher sollten wir die Militärbereitschaft auf 'Frieden' ändern."
ALERT_READINESS_ADVICE "Da eine recht feindselige Atmosphäre herrscht, sollten unsere Militärkräfte in 'Alarmbereitschaft' sein, damit wir notfalls sofort reagieren können."
AT_WAR_READINESS_ADVICE "Unsere Souveränität ist von allen Seiten bedroht, Eminenz. Wir sollten unsere Militärbereitschaft sicherheitshalber auf 'Kriegszustand' ändern."
TACTICAL_SEIGE_ADVICE "Die Eroberung der Stadt {city[0].name} würde unserer Nation zweifellos großen Ruhm einbringen."
TACTICAL_ENTRENCH_ADVICE "Zur besseren Verteidigung sollten Sie Ihren Truppen in {city[0].name} befehlen, sich zu verschanzen."
TACTICAL_TURGIDSON_ADVICE "In punkto Nuklearwaffen sind wir {player[0].country_name#DAT} überlegen. Wenn wir es schaffen, sofort einen massiven, koordinierten Angriff auf ihre Städte zu starten, könnten wir sie in die Knie zwingen."

##
##  SCIENCE MANAGER
##

ENEMY_HAS_ADVANCE_ADVICE "Die {player[0].civ_name_plural} haben die für uns unverzichtbare Neuerung {advance[0].name#ARTICLE_GEN} erforscht. Wir müssen uns dieses Wissen ebenfalls unter allen Umständen aneignen."
ALLY_HAS_ADVANCE_ADVICE "Unsere Freunde, die {player[0].civ_name_plural}, haben {advance[0].name#ARTICLE_ACC} erforscht. Wir sollten sie dazu bringen, ihr Wissen mit uns zu teilen."
KEY_ADVANCE_ADVICE "Unsere führenden Wissenschaftler schlagen vor, dass wir {advance[0].name#ARTICLE_ACC} erforschen. Ich denke, wir sollten ihren Rat beherzigen."
NON_PROLIFERATION_ADVICE "Sie sollten die {player[0].civ_name_plural} auffordern, umgehend Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen. Sie dürfen uns nicht überflügeln!" 
MANHATTAN_PROJECT_ADVICE "Geheimdienstberichten zufolge stehen die {player[0].civ_name_plural} vor der Entdeckung {advance[0].name#ARTICLE_GEN}. Wenn sie uns zuvorkommen, sind sie nicht mehr aufzuhalten!"
KEY_MILITARY_ADVANCE_ADVICE "Wir müssten das Geheimnis {advance[0].name#ARTICLE_GEN} enthüllen, um {unit[0].name#PLURAL} erschaffen und auf dem Schlachtfeld dominieren zu können."
KEY_SCIENCE_ADVANCE_ADVICE "Um auf dem wissenschaftlichen Sektor mithalten zu können, müssen wir {advance[0].name#ARTICLE_ACC} erforschen. Das würde einen enormen Aufschwung bedeuten."
KEY_GROWTH_ADVANCE_ADVICE "Um das Bevölkerungswachstum in unserer Nation zu gewährleisten, müssen wir die Geheimnisse {advance[0].name#ARTICLE_GEN} ergründen."


